source_url,scraped_at,category,description,submitted_by,submitted_time,vote_count,address,blockchain,tag,domain
https://chainabuse.com/chain/ETH?page=35,2026-01-27T09:53:50.840861,Impersonation Scams: Protect Yourself on Chainabuse,"Scammers have whatsapp groups where mr. Robert Windmill a proffesional trader and investor is giving trading signals, and the group trades with him on the cryptandcoin exchange. There was few questions why is he doing this (whats his gain) his answer was that they earn commission thought fees with our traiding on their platform. This lasted for 2 months, last week they had a release of new coin called CryptoSurge or CST, it gained 2500% yield upon its release on trading markets. We all had huge profits, and then we got to 5% miner fee or tax release. They demanded in my case to pay 2500$ (from other exchange like binance or coinbase, and that was a huge red flag for me - why can't they just deduct those funds from my existing acc on their platform) which i didn't pay, but I have invested in my early days around 2000€. This happened today.",Anonymous,"Jan 12, 2026",1,0x57f5166eB57E95A6fa380c8A06f82DefA99d2a08,Ethereum,,https://cryptandcoin.com/home
https://chainabuse.com/chain/ETH?page=35,2026-01-27T09:53:50.840861,Impersonation Scams: Protect Yourself on Chainabuse,"Scammers have whatsapp groups where mr. Robert Windmill a proffesional trader and investor is giving trading signals, and the group trades with him on the cryptandcoin exchange. There was few questions why is he doing this (whats his gain) his answer was that they earn commission thought fees with our traiding on their platform. This lasted for 2 months, last week they had a release of new coin called CryptoSurge or CST, it gained 2500% yield upon its release on trading markets. We all had huge profits, and then we got to 5% miner fee or tax release. They demanded in my case to pay 2500$ (from other exchange like binance or coinbase, and that was a huge red flag for me - why can't they just deduct those funds from my existing acc on their platform) which i didn't pay, but I have invested in my early days around 2000€. This happened today.",Anonymous,"Jan 12, 2026",1,TBbzRMfHfKTYKFQkuUHppgnxoSdGgG991s,Tron,,https://cryptandcoin.com/home
https://chainabuse.com/chain/ETH?page=35,2026-01-27T09:53:50.840877,Report Miscellaneous Crypto Scams with Chainabuse: Extortion,This person has harassed and tried to get me to be part of a crptyo scam,Anonymous,"Jan 12, 2026",1,0xac9d54ca08740a608b6c474e5ca07d51ca8117fa,Ethereum,,
https://chainabuse.com/chain/ETH?page=35,2026-01-27T09:53:50.840880,Crypto Hacks: Report and Stay Safe with Chainabuse,"I am reporting a sophisticated ""Honeypot"" scam being promoted on Telegram (Channel: @trade_wu). The scammers are using a technique called ""Address Spoofing"" to create fake ""Transfer"" events on the blockchain.

These events make it appear as though the token is being deposited into official Binance, KuCoin, and ByBit hot wallets to trick users into believing a listing is imminent.

Malicious Contract Address:  0x9ac2A190f930db5b3c019110Cc8ed075774587f1",Anonymous,"Jan 12, 2026",1,0x9ac2A190f930db5b3c019110Cc8ed075774587f1,Ethereum,Reporting Honeypot Scam &,https://t.me/trade_wu
https://chainabuse.com/chain/ETH?page=35,2026-01-27T09:53:50.840882,Impersonation Scams: Protect Yourself on Chainabuse,"The wallet owner was the victim of a seed phrase compromise attack, in which they were tricked into revealing a 24-word recovery phrase through a fraudulent interface mimicking the official Ledger Live application. As a result, the malicious actors gained full access to the wallet and subsequently transferred the digital assets to unauthorized addresses.",Anonymous,"Jan 12, 2026",1,0x163df413dab1e3714f3afe535f581ff9c6ae200f,Ethereum,,
https://chainabuse.com/chain/ETH?page=35,2026-01-27T09:53:50.840882,Impersonation Scams: Protect Yourself on Chainabuse,"The wallet owner was the victim of a seed phrase compromise attack, in which they were tricked into revealing a 24-word recovery phrase through a fraudulent interface mimicking the official Ledger Live application. As a result, the malicious actors gained full access to the wallet and subsequently transferred the digital assets to unauthorized addresses.",Anonymous,"Jan 12, 2026",1,bc1q0j3lm8jwuw8vfja55wruwp3sxslwhzj45hjv9f,Bitcoin,,
https://chainabuse.com/chain/ETH?page=35,2026-01-27T09:53:50.840884,Fake Return Scams: Secure Your Crypto Investments,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce pellentesque vulputate iaculis. Integer lacus sapien, auctor quis nisi non, pulvinar accumsan ligula. Vivamus quis odio ut est iaculis lobortis ut eu leo. Nam mattis varius gravida. Vivamus aliquet vestibulum ex et rutrum. Mauris eu tempor mi, ac porttitor magna. Etiam id fermentum orci, et malesuada lacus. Morbi facilisis malesuada hendrerit. Fusce eu magna auctor, fringilla libero eget, sodales elit.",Anonymous,"Jan 12, 2026",0,address-1,Ethereum,,
https://chainabuse.com/chain/ETH?page=35,2026-01-27T09:53:50.840884,Fake Return Scams: Secure Your Crypto Investments,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce pellentesque vulputate iaculis. Integer lacus sapien, auctor quis nisi non, pulvinar accumsan ligula. Vivamus quis odio ut est iaculis lobortis ut eu leo. Nam mattis varius gravida. Vivamus aliquet vestibulum ex et rutrum. Mauris eu tempor mi, ac porttitor magna. Etiam id fermentum orci, et malesuada lacus. Morbi facilisis malesuada hendrerit. Fusce eu magna auctor, fringilla libero eget, sodales elit.",Anonymous,"Jan 12, 2026",0,address-2,Ethereum,,
https://chainabuse.com/chain/ETH?page=35,2026-01-27T09:53:50.840884,Fake Return Scams: Secure Your Crypto Investments,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce pellentesque vulputate iaculis. Integer lacus sapien, auctor quis nisi non, pulvinar accumsan ligula. Vivamus quis odio ut est iaculis lobortis ut eu leo. Nam mattis varius gravida. Vivamus aliquet vestibulum ex et rutrum. Mauris eu tempor mi, ac porttitor magna. Etiam id fermentum orci, et malesuada lacus. Morbi facilisis malesuada hendrerit. Fusce eu magna auctor, fringilla libero eget, sodales elit.",Anonymous,"Jan 12, 2026",0,address-3,Ethereum,,
https://chainabuse.com/chain/ETH?page=35,2026-01-27T09:53:50.840887,Crypto Hacks: Report and Stay Safe with Chainabuse,"On November 28, 2025, at approximately 1:30 AM CET, two Gmail accounts were compromised through a sophisticated phishing attack involving the installation of malware from the zkcall.net website. The malware, identified as a variant of MacSync Stealer, was downloaded after a fake LinkedIn profile (""Tatjana Jelisejeva"") initiated contact and suggested using the app for a scheduled call. The attacker bypassed 2FA, changed recovery options, and gained full access to the accounts, including a 1TB Google Drive containing sensitive documents.The breach enabled the hacker to access linked cryptocurrency exchanges and wallets, resulting in unauthorized withdrawals totaling approximately €159,526 (adjusted for current market prices as of January 10, 2026).This case involves cross-border phishing, malware distribution, crypto theft, and illegal content posting. Investigations should trace the fake profiles, company registration (ZK-Call OÜ in Estonia), and hacker wallets (e.g., 0xed0fFC3c0FfCE9b95Ce18af8D8D3092D01A84974 holding dormant ETH) for potential money laundering.",Anonymous,"Jan 12, 2026",1,0xed0fFC3c0FfCE9b95Ce18af8D8D3092D01A84974,Ethereum,Scammer,
